Wavenumber,COMP1,COMP2,COMP3,COMP4
1705.498047,12153.404565666227,3394441997.921342,213892724317.48004,461.8348241314581
1703.894531,12780.30949157225,3407969446.3918767,220693797928.09946,457.8141700666002
1702.292969,13485.655532695308,3434321779.384542,227833781816.99042,454.73240172325535
1700.689453,14076.073252082337,3487478374.7640104,233180238494.8667,456.004323974402
1699.087891,14269.637716622387,3584497052.4054914,234152706023.5743,465.0183264907934
1697.484375,14296.42027084245,3707701741.380848,233135463879.5589,477.66313905623383
1695.880859,14335.032482616289,3838347042.9861813,231973248925.88248,491.31792743693194
1694.275391,14558.50905267915,3968886035.5844526,232324284142.24536,501.591978780628
1692.671875,15226.515488929132,4085627891.7622466,236729918460.41373,502.7187283194523
1691.066406,16096.221307635067,4190765345.06884,243321918821.69495,498.9810203117637
1689.462891,16981.165268943372,4288640246.7946186,250325131786.81833,493.67166026262436
1687.857422,17678.461492753755,4374413855.738237,257059452310.2066,489.84975620269705
1686.251953,17898.302200427617,4444974732.117119,262132541377.24866,492.272144365099
1684.644531,17900.24043099505,4500846499.77564,266394601693.12695,496.7066105405541
1683.039063,17880.54388270949,4544571753.942454,270668474074.2403,499.9582857228505
1681.431641,18057.937644539306,4570857285.131523,275234347936.9057,498.6746342592242
1679.826172,18750.66977739676,4574792066.648117,280752645317.0568,487.90224111428086
1678.21875,19667.363344498117,4567182325.861907,286351309970.6626,472.64493302738015
1676.611328,20575.91782735369,4554298713.154406,291259362960.12427,457.03592225779795
1675.001953,21265.095014947932,4550677580.633361,294894918466.90643,444.7239352903559
1673.394531,21422.009533191063,4574106209.475151,296362214181.4628,440.99090333391734
1671.785156,21319.168501519875,4610017818.885629,296367159620.6905,441.96308715825006
1670.175781,21179.21647419016,4646733650.1718855,295694881022.9531,444.5067936450315
1668.566406,21216.67757311788,4673271674.349742,294360768636.5295,445.46677797737414
1666.957031,21753.364978611873,4674022522.158219,292711804240.0688,440.3181947015717
1665.347656,22541.49211306228,4658629286.439697,290743542743.2228,432.7710125325783
1663.736328,23405.560118933554,4631478042.255348,288025704089.4898,424.4948138739113
1662.126953,24180.985040494772,4606842548.617908,285616983855.8923,420.82574100802486
1660.515625,24554.570460585343,4603588406.563054,284559489886.3065,428.91234707119366
1658.904297,24952.317827901446,4597575258.413727,283622027626.3109,439.4762543879937
1657.292969,25878.641163584438,4575252509.759324,282313636698.5541,445.6628957708615
1655.679688,27237.074337749265,4508523298.430344,278877256938.47437,440.0106105643014
1654.068359,29073.277520449567,4359540512.241489,270996405029.87805,411.5623221710196
1652.455078,31630.31727013579,4170989656.304203,261328784595.40823,369.8825281607066
1650.841797,34724.32936177317,3981785011.959856,252176721601.11026,325.60118589347115
1649.228516,39288.25688997476,3813553837.7068725,244901083311.80914,279.2954378164589
1647.615234,46363.26239653392,3702037648.2451468,241967014211.1492,234.86918717655993
1646.001953,54467.526329324806,3634433826.47268,241811523419.03165,195.35887545566996
1644.386719,62502.18824206229,3590907019.6218104,242935044589.48703,160.10105433777636
1642.771484,69174.31029547921,3583901122.4889574,246281280690.50848,138.5106422794925
1641.15625,72691.04713646194,3619380062.827303,252489722807.50964,140.5303342085775
1639.541016,74199.97050653439,3683975015.635183,259732213965.09525,157.0394181343388
1637.925781,74864.02056487651,3767469555.4986944,266997614524.0708,180.8395303185802
1636.310547,74846.62434890191,3856956254.345433,271840575272.38745,205.49082059554294
1634.693359,74808.85992236108,3936692817.328814,271301001116.13248,221.20987157733177
1633.076172,74500.93867898894,4003452722.794205,267329197003.22906,232.9233962148975
1631.458984,73444.32671339969,4053485002.6314955,261553513824.73578,245.17721478104315
1629.841797,72150.43175876011,4083349457.0006332,255076261758.2001,258.8900958816395
1628.224609,71023.71898808304,4090252146.0183153,249776176969.6864,277.2194103524832
1626.605469,69721.24276585344,4068503852.5002513,244461525523.98645,296.11707149808564
1624.988281,68165.111487591,4022229236.6495004,238378242698.40625,312.34670787868197
1623.369141,65873.93842130473,3929153087.618242,230472619628.34637,322.42142395701524
1621.75,62201.60128049617,3764818076.716661,219132279815.363,321.52365135420075
1620.130859,57944.71250549813,3567706745.9386115,206778592860.07602,314.49604222162475
1618.509766,53801.83217085786,3365848284.9623566,195257071052.57086,305.32379858056777
1616.890625,50212.43729356424,3195275354.369972,186672143483.01965,297.6880281914364
1615.269531,47869.863108958525,3105221491.1081123,183957524492.12375,297.10517520899907
1613.648438,46516.81463856521,3062866897.211613,184797526858.15814,299.4701197780851
