Components1,Components2,Components3,Components4
0.0,1.1858557940477674e-10,5.302885700705744e-13,0.0
0.0,7.783158584936833e-12,1.302602209120418e-12,0.0
1.6257438100735615e-08,7.440608517798206e-11,5.753825453257824e-13,0.00026035610821770433
7.813494412283056e-07,9.899070143634647e-11,5.411145167860739e-13,1.0000517905092296e-05
0.0,5.586631010013802e-12,1.3785428802921545e-12,0.0
0.0,1.7034651549740492e-10,0.0,0.0
2.2324208748347905e-06,8.331045843774357e-11,0.0,0.0006185387975442466
0.0,3.5589237023511125e-11,1.079620381405071e-12,0.0
3.0138189170932238e-06,9.987420414117478e-11,0.0,0.0007186944083946202
1.9889236096517784e-06,1.2327848029952566e-10,2.1615281197978978e-13,0.0
0.0,0.0,1.478964745366293e-12,0.0
0.0,3.148806734156882e-11,1.1543370082489102e-12,0.0
0.0,5.876058277939082e-11,8.219486739878968e-13,0.0
3.490752818143586e-07,4.254227191239296e-11,8.918865596859562e-13,0.00012234642151861934
0.0,2.858281573434382e-11,1.1348069774530947e-12,0.0
5.846760198790913e-07,0.0,1.4108869003395761e-12,0.0
0.0,0.0,1.4722377916018097e-12,0.0
0.0,6.802990150586374e-11,8.045861275971811e-13,0.0
1.3928282427170377e-10,0.0,1.4627172616087766e-12,0.0
8.01457375067007e-07,2.1991542640772086e-11,1.1870989863217968e-12,0.0
1.9016278907442165e-07,7.571422315537824e-11,6.910659753451464e-13,0.0
0.0,0.0,1.4603248065549517e-12,0.0
1.9339804974898096e-07,0.0,1.4468210303321685e-12,0.0
0.0,0.0,1.514142277164765e-12,0.0
0.0,0.0,1.4874222580747508e-12,0.0
4.855102521569365e-07,4.8160989435472523e-11,9.34853826903878e-13,0.0
2.3675521537674238e-07,0.0,1.4756126149158271e-12,0.0
0.0,0.0,1.4642605144840963e-12,0.0
5.083657475467439e-07,1.3803978230057421e-11,1.2922395556044214e-12,0.0
0.0,0.0,1.4576606043918299e-12,0.0
0.0,0.0,1.4650964054840102e-12,0.0
1.0921392657301851e-07,0.0,1.4472910691240896e-12,0.0
0.0,0.0,1.5199609380033518e-12,0.0
3.2798449878794797e-07,5.001534934615099e-11,9.707617659144093e-13,0.0
0.0,0.0,1.4690879053001842e-12,0.0
4.7006637188778105e-07,1.2366853060488024e-11,1.3006698148360033e-12,0.0
2.623827072470291e-07,0.0,1.4542402456877298e-12,0.0
0.0,0.0,1.4656542549935629e-12,0.0
0.0,2.6732203463740612e-11,1.1497430453456735e-12,0.0
0.0,9.538416877188488e-11,5.889200716321705e-13,0.0
6.91105416926409e-07,1.2097253174746457e-11,1.324729804159229e-12,0.0
1.6158040586620263e-07,4.6958643294327254e-11,1.0336334686522924e-12,0.0
0.0,9.764208068075107e-11,6.50034817076207e-13,0.0
0.0,0.0,1.4513838459085345e-12,0.0
0.0,1.4461953779387005e-12,1.4411010496859852e-12,0.0
0.0,1.8247150684856367e-11,1.2495948892176356e-12,0.0
1.8640201683629904e-07,1.0871797574414067e-11,1.3521029526834563e-12,0.0
0.0,0.0,1.4171377181901466e-12,1.1781674654558618e-05
0.0,1.911571996403911e-11,1.2666144585583797e-12,0.0
5.042151665399195e-07,0.0,1.4359953352010907e-12,0.0
0.0,0.0,1.4574030448884366e-12,0.0
0.0,2.149417884717679e-11,1.2621765183572475e-12,0.0
2.2306904075496678e-06,1.328105445289474e-10,0.0,0.0003634565599012111
0.0,7.92524601531509e-11,7.282867531750662e-13,0.0
2.02509931643176e-06,3.3957198583350454e-11,1.0206166649372853e-12,0.0
0.0,0.0,1.4563030218746656e-12,0.0
0.0,0.0,1.489925893094396e-12,0.0
0.0,5.889264537777652e-11,4.4310965181434314e-13,0.000413151149590401
1.525887921902058e-07,0.0,1.4724862194617368e-12,0.0
0.0,5.889707501068479e-11,8.773152967105386e-13,0.0
0.0,0.0,1.462763937620639e-12,0.0
1.5296071072960813e-07,5.702105081640775e-12,1.3858190912690405e-12,9.279975793248296e-06
0.0,0.0,1.487106306449656e-12,0.0
9.98191668366908e-06,0.0,0.0,0.0
5.074754169984758e-06,0.0,1.1561311126375071e-12,0.0
2.299837392308885e-06,3.361784662169869e-12,1.2496169357425937e-12,3.462826159235303e-05
